ilce_adi,mahalle_adi,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_sayisi,atik_su_boru_hasari,gecici_barinma
SISLI,MECIDIYEKOY,40705,3,8,42,206,4,1,11,24,0,0,0,286
SISLI,MERKEZ,40706,4,10,54,284,3,1,10,21,1,1,1,194
SISLI,MESRUTIYET,40707,7,13,58,263,4,2,10,18,0,0,0,188
SISLI,PASA,40708,5,21,93,325,4,2,12,27,0,0,1,410
SISLI,TESVIKIYE,40709,3,6,30,180,2,1,7,15,0,0,0,155
SISLI,YAYLA,40710,4,14,65,212,3,2,9,20,0,0,0,308
TUZLA,AKFIRAT,40725,1,11,65,117,0,0,0,2,0,0,0,142
TUZLA,ANADOLU,40730,0,4,23,48,0,0,0,1,0,0,0,43
TUZLA,AYDINLI,40720,41,176,821,1481,22,12,87,188,2,3,9,3467
TUZLA,AYDINTEPE,40717,11,38,191,458,12,6,34,72,1,1,2,1119
TUZLA,CAMI,40724,26,73,250,278,11,6,33,61,1,1,2,729
TUZLA,EVLIYA CELEBI,40718,19,65,255,395,9,4,27,56,1,1,3,931
TUZLA,FATIH,40731,1,5,32,72,0,0,0,0,0,0,0,43
TUZLA,ICMELER,40716,14,43,193,344,8,5,27,54,0,0,1,725
TUZLA,ISTASYON,40723,46,98,312,450,29,19,80,149,1,2,5,1930
TUZLA,MESCIT,40732,5,27,123,197,1,1,7,17,1,1,2,371
TUZLA,MIMAR SINAN,40721,77,199,586,717,57,43,159,293,1,2,5,3143
TUZLA,ORHANLI,40728,12,72,332,526,1,1,6,12,0,1,4,157
TUZLA,ORTA,40729,3,24,138,274,1,0,4,13,0,1,1,429
TUZLA,POSTANE,40719,56,183,737,1001,17,10,65,130,2,2,6,1878
TUZLA,SIFA,40722,103,238,673,733,81,50,218,392,2,2,6,4163
TUZLA,TEPEOREN,40726,8,49,287,595,0,0,2,4,1,1,0,332
TUZLA,YAYLA,40715,23,65,292,553,19,12,59,121,1,1,2,1815
UMRANIYE,ADEM YAVUZ,98684,5,24,137,356,2,1,12,28,0,0,1,599
UMRANIYE,ALTINSEHIR,98685,3,15,126,418,3,1,12,31,1,1,1,694
UMRANIYE,ARMAGANEVLER,98686,2,9,87,346,1,0,9,26,0,0,1,678
UMRANIYE,ASAGI DUDULLU,40742,5,26,151,337,2,1,11,26,0,0,1,497
UMRANIYE,ATAKENT,40748,1,6,57,197,0,0,4,14,0,0,0,412
UMRANIYE,ATATURK,40735,2,7,68,276,2,1,9,23,0,0,0,423
UMRANIYE,CEMIL MERIC,98688,14,56,284,644,7,7,24,57,1,1,1,1014
UMRANIYE,CAKMAK,40738,1,5,52,275,0,0,5,18,0,0,1,424
UMRANIYE,CAMLIK,98689,0,3,28,161,0,0,2,8,0,0,0,209
UMRANIYE,DUMLUPINAR,98690,5,29,163,434,0,0,9,23,0,0,1,460
UMRANIYE,ELMALIKENT,98691,3,20,141,383,0,0,8,24,0,0,1,599
UMRANIYE,ESENEVLER,98692,1,3,37,196,0,0,3,13,0,0,0,285
UMRANIYE,ESENKENT,98709,3,21,163,462,0,0,4,18,1,1,2,580
UMRANIYE,ESENSEHIR,40747,5,24,163,414,4,1,13,31,1,1,1,692
UMRANIYE,FATIH SULTAN MEHMET,98693,0,2,15,54,0,0,1,3,0,0,0,73
UMRANIYE,HEKIMBASI,40744,3,18,107,286,0,0,3,12,0,0,0,201
UMRANIYE,HUZUR,98694,2,14,108,264,0,0,5,15,0,0,1,356
UMRANIYE,IHLAMURKUYU,40745,6,26,147,373,3,2,13,31,0,1,1,635
UMRANIYE,INKILAP,40737,4,22,175,481,1,0,8,26,1,1,1,776
UMRANIYE,ISTIKLAL,40739,2,7,69,335,1,0,7,24,0,0,1,589
UMRANIYE,KAZIM KARABEKIR,40743,5,25,179,459,2,0,9,25,0,0,1,580
UMRANIYE,MADENLER,98695,1,7,57,187,0,0,3,12,0,0,1,305
UMRANIYE,MEHMET AKIF,98696,0,2,19,110,0,0,2,8,0,0,0,226
UMRANIYE,NAMIK KEMAL,40736,2,7,68,283,1,0,8,20,0,0,0,434
UMRANIYE,NECIP FAZIL,98699,9,43,238,532,8,2,24,55,1,1,1,1235
UMRANIYE,PARSELLER,98700,3,18,124,301,1,0,8,22,0,0,1,584
UMRANIYE,SARAY,98701,1,3,24,73,0,0,0,1,0,0,0,24
UMRANIYE,SITE,98702,4,17,101,297,2,1,9,26,0,1,1,656
UMRANIYE,SERIFALI,98703,1,5,48,179,0,0,1,4,0,0,1,133
UMRANIYE,TANTAVI,98704,1,3,24,83,0,0,2,6,0,0,0,182
UMRANIYE,TATLISU,98705,0,3,24,110,0,0,1,7,0,0,0,223
UMRANIYE,TEPEUSTU,98706,1,6,50,181,1,0,4,12,0,0,0,262
UMRANIYE,TOPAGACI,98707,5,32,186,501,0,0,7,23,0,1,1,515
UMRANIYE,YAMANEVLER,98708,1,5,47,185,0,0,4,13,0,0,0,251
UMRANIYE,YUKARI DUDULLU,40741,4,21,159,483,1,0,6,19,1,1,1,539
USKUDAR,ACIBADEM,40778,2,6,38,185,2,1,13,28,0,0,1,385
USKUDAR,AHMEDIYE,98664,3,7,46,164,3,1,9,18,0,0,0,312
USKUDAR,ALTUNIZADE,40781,2,8,52,197,1,0,6,16,0,0,1,895
USKUDAR,AZIZ MAHMUT HUDAYI,98665,7,16,93,240,4,2,13,25,0,0,0,171
USKUDAR,BAHCELIEVLER,40785,6,29,154,419,2,1,11,30,0,0,1,395
USKUDAR,BARBAROS,40786,2,7,44,152,2,1,8,19,0,0,0,478
USKUDAR,BEYLERBEYI,40787,4,14,98,218,0,0,4,13,0,0,0,330
USKUDAR,BULGURLU,40788,1,5,51,253,1,0,6,18,0,0,0,627
USKUDAR,BURHANIYE,40789,4,17,132,364,1,0,10,24,0,0,1,605
USKUDAR,CUMHURIYET,40790,3,8,84,386,2,1,11,28,0,1,1,693
USKUDAR,CENGELKOY,98666,7,24,171,402,2,1,11,27,1,0,1,320
USKUDAR,FERAH,40794,6,23,149,358,5,3,19,42,1,0,1,332
USKUDAR,GUZELTEPE,40797,3,12,106,283,1,0,6,17,0,0,0,168
USKUDAR,ICADIYE,40802,6,17,106,341,5,1,15,31,0,0,0,782
USKUDAR,KANDILLI,40806,1,6,47,113,0,0,0,1,0,0,0,159
USKUDAR,KISIKLI,40809,4,17,128,373,2,1,10,27,1,1,1,471
USKUDAR,KIRAZLITEPE,40808,6,24,158,351,3,2,14,31,0,0,0,120
USKUDAR,KULELI,40810,1,6,37,93,0,0,0,4,0,0,0,172
USKUDAR,KUZGUNCUK,40811,4,16,109,264,1,0,5,11,0,0,0,268
USKUDAR,KUCUKCAMLICA,98667,5,24,157,364,0,0,7,25,1,1,1,466
USKUDAR,KUCUKSU,40812,3,13,100,276,1,0,4,18,0,0,1,358
USKUDAR,KUPLUCE,40813,5,17,142,357,2,1,11,26,0,0,1,228
USKUDAR,MEHMET AKIF ERSOY,40814,5,22,168,416,3,1,13,32,0,0,1,308
USKUDAR,MIMAR SINAN,98668,12,27,131,342,11,6,29,58,0,0,1,722
USKUDAR,MURATREIS,40815,4,11,67,259,6,3,16,32,0,0,0,420
USKUDAR,SALACAK,40804,4,8,56,199,3,2,9,20,0,0,0,908
USKUDAR,SELAMI ALI,40819,3,9,53,203,4,2,12,25,0,0,0,295
USKUDAR,SELIMIYE,40820,6,16,76,208,3,1,8,16,0,1,0,326
USKUDAR,SULTANTEPE,98669,7,15,78,222,6,3,18,35,0,0,0,888
USKUDAR,UNALAN,40827,8,24,173,507,7,3,23,51,1,1,1,915
USKUDAR,VALIDE-I ATIK,40828,5,13,82,316,7,3,19,39,0,0,0,942
USKUDAR,YAVUZTURK,40830,5,27,220,612,2,1,15,42,1,1,1,387
USKUDAR,ZEYNEP KAMIL,98670,2,5,35,173,3,1,10,20,0,0,0,241
ZEYTINBURNU,BESTELSIZ,40838,43,89,354,622,56,31,147,268,0,1,2,2291
ZEYTINBURNU,CIRPICI,40837,49,98,357,572,77,43,202,360,1,1,2,2760
ZEYTINBURNU,GOKALP,40834,31,62,253,456,45,24,118,215,0,1,2,1111
ZEYTINBURNU,KAZLICESME,40840,25,44,126,182,13,8,36,68,0,1,3,346
ZEYTINBURNU,MALTEPE,40843,62,125,378,513,15,8,44,81,1,1,4,181
ZEYTINBURNU,MERKEZEFENDI,40842,29,60,216,369,39,24,105,193,1,1,2,2617
ZEYTINBURNU,NURIPASA,40832,39,77,308,529,66,37,173,314,1,1,2,3220
ZEYTINBURNU,SEYITNIZAM,40841,37,92,363,592,51,28,134,246,1,1,3,2363
ZEYTINBURNU,SUMER,40831,41,80,319,561,87,47,229,414,1,1,3,5682
ZEYTINBURNU,TELSIZ,40839,72,133,470,801,84,48,223,400,1,1,3,1094
ZEYTINBURNU,VELIEFENDI,40836,39,80,309,530,66,38,175,317,1,1,2,3400
ZEYTINBURNU,YENIDOGAN,40833,17,33,135,234,24,13,63,114,0,0,1,1715
ZEYTINBURNU,YESILTEPE,40835,26,52,211,374,45,25,118,216,0,0,1,4250
